jiegou,cengshu,yongtu,dem,slope,aspect,qingpo,curvation,poumian,pingmian,TPI,LC,yanxing,fault,falutpan,mi,pga,pav,road,water,Y
0.4,0,0,0.800000012,0.25,1,1,0.300000012,0.600000024,0.300000012,0.200000003,1,0.333333333,1,1,0.166666667,0.25,0.142857143,0.8,1,damage
0.4,0.25,0,0.600000024,0.25,1,1,0.600000024,0.400000006,0.400000006,0.400000006,1,0.333333333,1,1,0,0.25,0,1,1,damage
0.4,0,0,0.600000024,0.25,1,1,0.400000006,0.400000006,0.400000006,0.600000024,1,0.333333333,1,1,0,0.25,0,1,1,wanhao
0.4,0.25,0,0.600000024,0.25,1,1,0.300000012,0.699999988,0.400000006,0.600000024,1,0.333333333,1,1,0,0.25,0,1,1,wanhao
0.4,0.25,0,0.600000024,0,1,1,0.5,0.5,0.5,0.600000024,1,0.333333333,1,1,0,0.25,0.142857143,0.2,1,wanhao
0.4,0.25,0,0.600000024,0,1,1,0.5,0.5,0.5,0.600000024,1,0.333333333,1,1,0,0.25,0.142857143,0.6,1,damage
0.4,0,0,0.600000024,0.25,1,1,0.200000003,0.699999988,0.300000012,0.200000003,1,0.333333333,1,1,0,0.25,0,1,1,damage
0.2,0.25,0,0.400000006,0.25,1,1,0.5,0.5,0.5,0.600000024,1,0.333333333,1,1,0,0.25,0.142857143,0.6,1,damage
0.4,0.25,0,0.400000006,0.25,0.857142985,1,0.5,0.5,0.5,0.200000003,1,0.333333333,1,1,0.166666667,0.25,0.142857143,0.4,1,damage
0.4,0.5,0,0.400000006,0,1,1,0.5,0.5,0.5,0.600000024,1,0.333333333,1,1,0.333333333,0.25,0.142857143,0.4,1,wanhao
0.4,0,0,0.400000006,0.5,0.857142985,1,0.5,0.5,0.5,1,1,0.333333333,0.4,1,0.333333333,0.25,0.142857143,0.8,1,wanhao
0.2,0,0,1,0.25,0.857142985,1,0.699999988,0.400000006,0.699999988,1,1,0.333333333,0.8,0,0.333333333,0.5,0.142857143,0.8,1,damage
0.2,0,0,1,0.5,0.571429014,1,0.600000024,0.600000024,0.600000024,0.800000012,1,0.333333333,1,0,0.333333333,0.5,0.142857143,0.2,1,damage
0.4,0.25,0,1,0.5,0.571429014,1,0.699999988,0.400000006,0.600000024,1,1,0.333333333,1,0,0.333333333,0.5,0.142857143,0.2,1,damage
0.4,0,0,1,0.5,0.714286029,1,0.400000006,0.400000006,0.400000006,0.600000024,1,0.333333333,1,0,0.333333333,0.375,0.142857143,0.4,1,wanhao
0.4,0,0,1,0.5,0.714286029,1,0.600000024,0.400000006,0.600000024,1,1,0.333333333,1,0,0.333333333,0.25,0.142857143,0.4,1,damage
0.4,0,0,0.800000012,0.5,0,1,0.800000012,0.400000006,0.800000012,0.600000024,1,0.333333333,1,0,0.333333333,0.25,0.142857143,0,1,wanhao
0.4,0,0,0.800000012,0.5,0.714286029,1,0.699999988,0.400000006,0.699999988,1,1,0.333333333,1,0,0.666666667,0.5,0.428571429,0.6,0.8,wanhao
0.4,0.25,0,0.800000012,0.5,0.857142985,1,1,0,0.800000012,1,1,0.333333333,1,0,0.666666667,0.5,0.428571429,0.8,0.6,wanhao
0.4,0,0,0.600000024,0.75,0.857142985,1,0.200000003,0.800000012,0.600000024,0.200000003,1,0.333333333,1,0,0.666666667,0.5,0.428571429,1,0,wanhao
0.4,0.25,0,0.800000012,0.75,1,1,0.600000024,0.600000024,0.699999988,1,1,0.333333333,1,0,0.666666667,0.5,0.428571429,0.2,1,wanhao
0.4,0,0,0.800000012,0.75,0.857142985,1,0.899999976,0.100000001,0.800000012,1,1,0.333333333,1,0,0.666666667,0.5,0.428571429,0.8,1,wanhao
0.2,0,0,1,0.5,0.857142985,1,0.899999976,0.200000003,0.800000012,1,1,0.333333333,1,0,0.666666667,0.5,0.428571429,1,1,daota
0.4,0,1,1,0.25,0.571429014,1,0.699999988,0.400000006,0.600000024,1,1,0.333333333,1,0,0.333333333,0.5,0.428571429,0.2,1,wanhao
0.4,0.25,0,1,0.25,0.285714,1,0.899999976,0.200000003,0.699999988,1,1,0.333333333,1,1,0.333333333,0.5,0.428571429,0.4,1,damage
0.4,0.25,1,0.800000012,0.5,0.285714,1,0.600000024,0.600000024,0.600000024,0.800000012,1,0.333333333,1,1,0.333333333,0.5,0.428571429,0.2,1,wanhao
0.4,0,1,0.800000012,0.25,0.285714,1,0.600000024,0.600000024,0.699999988,0.400000006,1,0.333333333,1,1,0.333333333,0.5,0.428571429,0.2,1,wanhao
0.2,0.25,1,0.800000012,0.25,0.285714,1,0.300000012,0.699999988,0.400000006,0.600000024,1,0.333333333,1,1,0.333333333,0.5,0.285714286,0.4,1,wanhao
0.4,0,1,0.800000012,0.25,0.285714,1,0.600000024,0.400000006,0.600000024,0.600000024,1,0.666666667,1,1,0.333333333,0.375,0.142857143,0.4,1,wanhao
0.4,0,0,0.600000024,0.25,0.285714,1,0.600000024,0.600000024,0.600000024,0.800000012,1,0.666666667,1,1,0.333333333,0.25,0.142857143,0.2,1,wanhao
0.4,0.5,1,0.600000024,0.25,0.285714,1,0.300000012,0.699999988,0.600000024,0.800000012,1,0.666666667,1,1,0.333333333,0.25,0.142857143,0.4,1,wanhao
0.4,0,1,0.600000024,0.25,0.285714,1,0.600000024,0.400000006,0.600000024,0.800000012,1,0.666666667,1,1,0.333333333,0.25,0.142857143,0.2,1,wanhao
0.2,0,0,0.800000012,0,0.285714,1,0.300000012,0.699999988,0.400000006,0.800000012,1,0.666666667,1,1,0.333333333,0.375,0.142857143,0.6,1,damage
0.2,0,0,0.600000024,0.25,0.285714,1,0.400000006,0.400000006,0.400000006,0.600000024,1,0.666666667,1,1,0.333333333,0.375,0.142857143,0.8,1,damage
0.4,0.5,1,0.600000024,0.25,0.285714,1,0.400000006,0.600000024,0.600000024,0.800000012,1,0.666666667,1,1,0.333333333,0.25,0.142857143,0.2,1,wanhao
0.4,0.25,0,0.600000024,0.25,0.285714,1,0.400000006,0.600000024,0.400000006,0.400000006,1,0.666666667,1,1,0.333333333,0.25,0.142857143,0.6,1,wanhao
0.4,0.5,0,0.600000024,0.25,0.285714,1,0.600000024,0.400000006,0.600000024,0.600000024,1,0.666666667,1,1,0.333333333,0.375,0.142857143,0.8,1,wanhao
0.4,0,0,0.600000024,0.25,0.285714,1,0.699999988,0.300000012,0.600000024,0.800000012,1,0.666666667,1,1,0.333333333,0.5,0.428571429,1,1,wanhao
0.2,0,0,0.600000024,0.5,0.142857,1,0.100000001,0.899999976,0.400000006,0.600000024,1,0.666666667,1,1,0.333333333,0.5,0.428571429,0.8,1,damage
0.2,0,0,0.400000006,0.25,1,1,0.5,0.5,0.5,0.600000024,1,0.666666667,1,1,0.333333333,0.5,0.428571429,0.4,1,daota
1,0,0,0.600000024,0.25,0.142857,1,0.400000006,0.600000024,0.5,0.600000024,1,0.666666667,1,1,0.666666667,0.5,0.428571429,1,0.4,wanhao
0.4,0,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.600000024,1,0.666666667,1,1,0.666666667,0.5,0.428571429,1,1,damage
1,0,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.800000012,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.6,0.6,wanhao
1,0.25,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.800000012,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.8,1,damage
1,0.25,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.600000024,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.6,1,damage
1,0.5,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.600000024,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.4,1,wanhao
0.4,0.25,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.400000006,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.6,1,damage
1,0,0,0.400000006,0.25,0.142857,1,0.5,0.5,0.5,0.600000024,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.2,1,wanhao
1,0.25,0,0.400000006,0.5,0.285714,1,0.400000006,0.600000024,0.5,0.400000006,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.4,0.4,wanhao
0.4,0,0,0.400000006,0.25,0.285714,1,0.5,0.5,0.5,0.200000003,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0.4,0.8,wanhao
0.4,0,0,0.400000006,0.25,0.285714,1,0.5,0.5,0.5,0.200000003,1,0.666666667,1,1,0.666666667,0.5,0.428571429,0,1,damage
0.4,0.25,0,0.400000006,0.25,0.285714,1,0.5,0.5,0.5,0.400000006,1,0.666666667,0.8,1,0.666666667,0.5,0.428571429,0.4,0.6,wanhao
0.4,0.25,0,0.200000003,0,0.142857,1,0.5,0.5,0.5,0.400000006,1,0.666666667,0.8,1,0.666666667,0.5,0.428571429,0.2,1,damage
0.4,0.25,0,0.200000003,0,0.142857,1,0.5,0.5,0.5,0.600000024,1,0.666666667,0.6,1,0.666666667,0.5,0.428571429,0.2,1,damage
0.4,0,0,0.200000003,0,0.285714,1,0.5,0.5,0.5,0.400000006,1,0.666666667,0.6,1,0.666666667,0.5,0.428571429,0.2,0.6,wanhao
